filename_token,hgnc_symbol
A4,APP
ACE2,ACE2
ADRB2,ADRB2
AICDA,AICDA
AMFR,AMFR
B2L11,BCL2L11
BRCA1,BRCA1
BRCA2,BRCA2
CALM1,CALM1
CAR11,CARD11
CASP3,CASP3
CASP7,CASP7
CBPA2,CPA2
CBS,CBS
CBX4,CBX4
CCR5,CCR5
CD19,CD19
CP2C9,CYP2C9
DLG4,DLG4
DNJA1,DNAJA1
EPHB2,EPHB2
ERBB2,ERBB2
FKBP3,FKBP3
GDIA,GDI1
GLPA,GYPA
GRB2,GRB2
HECD1,HECTD1
HEM3,HMBS
HMDH,HMGCR
HXK4,GCK
ILF3,ILF3
KCNE1,KCNE1
KCNH2,KCNH2
LYAM1,SELL
MET,MET
MK01,MAPK1
MSH2,MSH2
MTHR,MTHFR
NKX31,NKX3-1
NPC1,NPC1
NUD15,NUDT15
OBSCN,OBSCN
OPSD,RHO
OTC,OTC
OTU7A,OTUD7A
P53,TP53
PAI1,SERPINE1
PIN1,PIN1
PITX2,PITX2
PKN1,PKN1
PPARG,PPARG
PPM1D,PPM1D
PR40A,PRPF40A
PRKN,PRKN
PTEN,PTEN
Q53Z42,HLA-A
RAF1,RAF1
RASH,HRAS
RASK,KRAS
RBP1,RBP1
RD23A,RAD23A
S22A1,SLC22A1
SC6A4,SLC6A4
SCN5A,SCN5A
SERC,PSAT1
SHOC2,SHOC2
SOX30,SOX30
SRBS1,SORBS1
SRC,SRC
SUMO1,SUMO1
SYUA,SNCA
TADBP,TARDBP
TNKS2,TNKS2
TPK1,TPK1
TPMT,TPMT
TPOR,MPL
UBC9,UBE2I
UBE4B,UBE4B
UBR5,UBR5
VKOR1,VKORC1
YAP1,YAP1
